product_name,brand,price,image_url,switch_type,connection,layout,key_force,weight_g,wireless_type,engraving,backlight,raw_switch_name,switch_name,switch_manufacturer,product_code,media_url,price_compare_url,media_url_is_placeholder
COX CK01 SAHARA HUANO 퀵스압 게이밍 기계식,COX,104000,https://img.danuri.io/catalog-image/948/862/028/06270376cab94c738e576ccb0eb9c63f.jpg?shrink=130:130&_v=20260610124736,기계식,유선,풀배열,60g,850,유선,정보없음,사이드 RGB LED,갈축,,후아노,28862972,https://example.com/media,https://prod.danawa.com/info/?pcode=28862972&cate=112782,True
앱코 HACKER K523 기계식 축교환 LED 키패드,앱코,14300,https://img.danuri.io/catalog-image/322/647/009/838857acaf3145439e46bd238590af9c.jpg?shrink=130:130&_v=20260610124800,기계식,유선,23키,50g,265,유선,영문 정각,단색 백라이트,적축,,GTMX,18727175,https://example.com/media,https://prod.danawa.com/info/?pcode=18727175&cate=112782,True
앱코 HACKER K523 기계식 축교환 LED 키패드,앱코,14300,https://img.danuri.io/catalog-image/322/647/009/838857acaf3145439e46bd238590af9c.jpg?shrink=130:130&_v=20260610124800,기계식,유선,23키,50g,265,유선,영문 정각,단색 백라이트,청축,,GTMX,9647322,https://example.com/media,https://prod.danawa.com/info/?pcode=9647322&cate=112782,True
앱코 K840 사각 레트로 축교환 기계식 블랙,앱코,38900,https://img.danuri.io/catalog-image/857/825/015/c2d4ebe796514c8aa8f72f73df9e72e6.jpg?shrink=130:130&_v=20260610160642,기계식,유선,풀배열,45g,870,유선,한/영 정각,레인보우 백라이트,적축,,GTMX,15825857,https://example.com/media,https://prod.danawa.com/info/?pcode=15825857&cate=112782,True
앱코 K840 사각 레트로 축교환 기계식 블랙,앱코,38900,https://img.danuri.io/catalog-image/857/825/015/c2d4ebe796514c8aa8f72f73df9e72e6.jpg?shrink=130:130&_v=20260610160642,기계식,유선,풀배열,45g,870,유선,한/영 정각,레인보우 백라이트,갈축,,GTMX,15825842,https://example.com/media,https://prod.danawa.com/info/?pcode=15825842&cate=112782,True
앱코 K840 사각 레트로 축교환 기계식 블랙,앱코,38900,https://img.danuri.io/catalog-image/857/825/015/c2d4ebe796514c8aa8f72f73df9e72e6.jpg?shrink=130:130&_v=20260610160642,기계식,유선,풀배열,45g,870,유선,한/영 정각,레인보우 백라이트,청축,,GTMX,15825632,https://example.com/media,https://prod.danawa.com/info/?pcode=15825632&cate=112782,True
마이크로닉스 WARP WK-1 마닉축 RGB 게이밍 기계식 키보드 화이트,마이크로닉스,84000,https://img.danuri.io/catalog-image/373/761/014/219e8bd8166e48eeb120b5f6edd9b655.jpg?shrink=130:130&_v=20260610124859,기계식,유선,풀배열,50g,1135,유선,레이저각인 키캡,레인보우 백라이트,적축,,독자 규격,14761394,https://example.com/media,https://prod.danawa.com/info/?pcode=14761394&cate=112782,True
마이크로닉스 WARP WK-1 마닉축 RGB 게이밍 기계식 키보드 화이트,마이크로닉스,45900,https://img.danuri.io/catalog-image/373/761/014/219e8bd8166e48eeb120b5f6edd9b655.jpg?shrink=130:130&_v=20260610124859,기계식,유선,풀배열,50g,1135,유선,레이저각인 키캡,레인보우 백라이트,갈축,,독자 규격,14761373,https://example.com/media,https://prod.danawa.com/info/?pcode=14761373&cate=112782,True
마이크로닉스 WARP WK-1 마닉축 RGB 게이밍 기계식 키보드 화이트,마이크로닉스,59900,https://img.danuri.io/catalog-image/373/761/014/219e8bd8166e48eeb120b5f6edd9b655.jpg?shrink=130:130&_v=20260610124859,기계식,유선,풀배열,50g,1135,유선,레이저각인 키캡,레인보우 백라이트,청축,,독자 규격,14761253,https://example.com/media,https://prod.danawa.com/info/?pcode=14761253&cate=112782,True
COX CA75 3모드 CNC 알루미늄 유무선 기계식 블루,COX,49000,https://img.danuri.io/catalog-image/778/951/073/90ff7751a5204abb9389d7f5ddb13806.jpg?shrink=130:130&_v=20260610124713,기계식,유선+무선,미니,50g,1378,"전용동글(리시버), 블루투스",영문 정각,RGB 백라이트,카라멜 커피 V1축,,,73951766,https://example.com/media,https://prod.danawa.com/info/?pcode=73951766&cate=112782,True
